Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth:login,1,0,57.50070803333074,57.50070803333074,57.50070803333074,57.50070803333074,259.0,0.044105475447223555,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,cached-stats:no-target,162,162,3,4.083377356931314,1.8645409727469087,15.792833000887185,22.0,7.145087022450215,7.145087022450215,3,4,5,6,7,8,10,14,16,16,16
GET,discover:datasources,20,0,13,13.47327706462238,6.875291001051664,16.385832976084203,22.0,0.882109508944471,0.0,13,14,15,15,16,16,16,16,16,16,16
GET,discover:workspaces,10,0,54,51.61729991086759,39.825875021051615,56.768333015497774,13148.0,0.4410547544722355,0.0,55,55,55,56,57,57,57,57,57,57,57
,Aggregated,193,162,3,7.796095234493923,1.8645409727469087,57.50070803333074,703.3316062176166,8.512356761314146,7.145087022450215,3,6,7,8,14,41,55,57,58,58,58
