Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,announcements:list,13,0,12,14.446176234811832,7.636250025825575,31.86141702462919,2.0,0.7480271291841493,0.0,12,15,17,21,26,32,32,32,32,32,32
POST,auth:login,5,0,300,298.96120000630617,296.03533301269636,303.94970800261945,259.0,0.28770274199390355,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,cached-stats:no-target,36,36,3,3.942333359898637,1.733041979605332,9.095666988287121,22.0,2.0714597423561054,2.0714597423561054,3,4,6,6,7,9,9,9,9,9,9
GET,discover:workspaces,5,0,14.92858401616104,14.562000008299947,14.183958002831787,14.92858401616104,30.0,0.28770274199390355,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,views:list,11,11,5,4.9622236348857935,2.3404999810736626,9.429708996322006,30.0,0.6329460323865879,0.6329460323865879,5,7,7,7,8,9,9,9,9,9,9
GET,views:popular,3,0,14,18.097417002233367,12.823416996980086,27.87141699809581,2.0,0.17262164519634213,0.0,14,14,28,28,28,28,28,28,28,28,28
,Aggregated,73,47,6,27.48242469962163,1.733041979605332,303.94970800261945,35.602739726027394,4.200460033110992,2.7044057747426935,6,9,13,14,26,300,300,300,300,300,300
