Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,announcements:list,197,0,9,11.227714678456978,5.653750034980476,33.22133398614824,2.0,6.782315571752232,0.0,9,10,12,15,17,20,24,29,33,33,33
POST,auth:login,1,0,76.87466702191159,76.87466702191159,76.87466702191159,76.87466702191159,259.0,0.03442799782615346,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,discover:datasources,20,0,13,12.662741745589301,8.967957983259112,16.153457981999964,22.0,0.6885599565230692,0.0,13,14,14,15,15,16,16,16,16,16,16
GET,discover:workspaces,10,0,160,159.55760829965584,140.87454095715657,174.99370797304437,13148.0,0.3442799782615346,0.0,160,170,170,170,170,170,170,170,170,170,170
,Aggregated,228,0,10,18.147216563974915,5.653750034980476,174.99370797304437,581.4605263157895,7.84958350436299,0.0,10,12,14,15,20,33,160,170,170,170,170
